B3LYHV2,FC830,idrac,MOC-R4PAC08U09-S3-OBM,Server-3,R4-PA-C08,9,10.2.14.52,DC:F4:01:8F:85:1A,7c:fe:90:cb:73:fa,7c:fe:90:cb:73:fb,1/2/4
GV115Z2,FX2,cmc,MOC-R4PAC08U07-CMC,,R4-PA-C08,7,10.2.14.40,54:48:10:FE:6F:5C,,
DBGNRZ2,FC830,idrac,MOC-R4PAC08U07-S1-OBM,Server-1,R4-PA-C08,7,10.2.14.41,D8:D0:90:6E:45:C0,24:8a:07:b3:78:c6,24:8a:07:b3:78:c7,1/2/1
GTHW4Z2,FC830,idrac,MOC-R4PAC08U07-S3-OBM,Server-3,R4-PA-C08,7,10.2.14.42,D8:D0:90:6E:45:DA,7c:fe:90:cb:73:26,7c:fe:90:cb:73:27,1/2/2
4N3R2S2,FX2,cmc,MOC-R4PAC08U05-CMC,,R4-PA-C08,5,10.2.14.30,54:48:10:FA:3E:F8,,
78SM903,FC830,idrac,MOC-R4PAC08U05-S1-OBM,Server-1,R4-PA-C08,5,10.2.14.31,CC:C5:E5:44:40:20,7c:fe:90:cb:73:ee,7c:fe:90:cb:73:ef,1/1/3
78SN903,FC830,idrac,MOC-R4PAC08U05-S3-OBM,Server-3,R4-PA-C08,5,10.2.14.32,CC:C5:E5:44:40:3A,7c:fe:90:cb:74:1a,7c:fe:90:cb:74:1b,1/1/4
JP2ZHH2,FX2,cmc,MOC-R4PAC08U03-CMC,,R4-PA-C08,3,10.2.14.20,F4:8E:38:C7:52:2C,,
4N3T2S2,FC830,idrac,MOC-R4PAC08U03-S1-OBM,Server-1,R4-PA-C08,3,10.2.14.21,40:5C:FD:35:F4:40,7c:fe:90:cb:76:d2,7c:fe:90:cb:76:d3,1/1/1
4N3S2S2,FC830,idrac,MOC-R4PAC08U03-S3-OBM,Server-3,R4-PA-C08,3,10.2.14.22,40:5C:FD:35:F4:5A,7c:fe:90:cb:76:9a,7c:fe:90:cb:76:9b,1/1/2
