GTKY4Z2,FC830,idrac,MOC-R4PAC21U21-S3-OBM,Server-3,R4-PA-C21,21,10.2.10.112,50:9A:4C:9D:D2:22,0c:42:a1:7b:e4:08,0c:42:a1:7b:e4:09
3BH2B03,FX2,cmc,MOC-R4PAC21U19-CMC,,R4-PA-C21,19,10.2.10.100,54:48:10:FE:94:AC,,
3BHY903,FC830,idrac,MOC-R4PAC21U19-S1-OBM,Server-1,R4-PA-C21,19,10.2.10.101,D8:D0:90:F2:BF:70,0c:42:a1:7c:04:68,0c:42:a1:7c:04:69
3BHZ903,FC830,idrac,MOC-R4PAC21U19-S3-OBM,Server-3,R4-PA-C21,19,10.2.10.102,D8:D0:90:F2:BF:8A,0c:42:a1:aa:8b:a2,0c:42:a1:aa:8b:a3
4N5T2S2,FX2,cmc,MOC-R4PAC21U17-CMC,,R4-PA-C21,17,10.2.10.90,54:48:10:FA:3A:C0,,
4N5M2S2,FC830,idrac,MOC-R4PAC21U17-S1-OBM,Server-1,R4-PA-C21,17,10.2.10.91,CC:C5:E5:43:DE:20,0c:42:a1:7b:e4:c0,0c:42:a1:7b:e4:c1
4N4W2S2,FC830,idrac,MOC-R4PAC21U17-S3-OBM,Server-3,R4-PA-C21,17,10.2.10.92,CC:C5:E5:43:DE:3A,0c:42:a1:7b:e4:7c,0c:42:a1:7b:e4:7d
C800MR2,FX2,cmc,MOC-R4PAC21U15-CMC,,R4-PA-C21,15,10.2.10.80,54:48:10:F1:DE:32,,
C883MR2,FC830,idrac,MOC-R4PAC21U15-S1-OBM,Server-1,R4-PA-C21,15,10.2.10.81,B8:85:84:CA:CC:00,0c:42:a1:51:3d:64,0c:42:a1:51:3d:65
C884MR2,FC830,idrac,MOC-R4PAC21U15-S3-OBM,Server-3,R4-PA-C21,15,10.2.10.82,B8:85:84:CA:CC:1A,0c:42:a1:7b:e4:b4,0c:42:a1:7b:e4:b5
7V5LCS2,FX2,cmc,MOC-R4PAC21U13-CMC,,R4-PA-C21,13,10.2.10.70,54:48:10:F5:96:1E,,
7V4HCS2,FC830,idrac,MOC-R4PAC21U13-S1-OBM,Server-1,R4-PA-C21,13,10.2.10.71,CC:C5:E5:9E:98:20,,
7V4JCS2,FC830,idrac,MOC-R4PAC21U13-S3-OBM,Server-3,R4-PA-C21,13,10.2.10.72,CC:C5:E5:9E:98:3A,0c:42:a1:7c:04:64,0c:42:a1:7c:04:65
F9YYXM2,FX2,cmc,MOC-R4PAC21U11-CMC,,R4-PA-C21,11,10.2.10.60,50:9A:4C:AD:E0:5A,,
F9YSXM2,FC830,idrac,MOC-R4PAC21U11-S1-OBM,Server-1,R4-PA-C21,11,10.2.10.61,58:8A:5A:93:91:31,0c:42:a1:51:3d:c4,0c:42:a1:51:3d:c5
F9YTXM2,FC830,idrac,MOC-R4PAC21U11-S3-OBM,Server-3,R4-PA-C21,11,10.2.10.62,58:8A:5A:93:91:4B,0c:42:a1:aa:8f:3a,0c:42:a1:aa:8f:3b
36K2PY2,FX2,cmc,MOC-R4PAC21U09-CMC,,R4-PA-C21,9,10.2.10.50,54:48:10:FE:6D:9E,,
3453PY2,FC830,idrac,MOC-R4PAC21U09-S1-OBM,Server-1,R4-PA-C21,9,10.2.10.51,F4:02:70:7B:12:20,0c:42:a1:95:c5:24,0c:42:a1:95:c5:25
3454PY2,FC830,idrac,MOC-R4PAC21U09-S3-OBM,Server-3,R4-PA-C21,9,10.2.10.52,F4:02:70:7B:12:3A,b8:59:9f:1a:d9:86,b8:59:9f:1a:d9:87
GV1W4Z2,FX2,cmc,MOC-R4PAC21U07-CMC,,R4-PA-C21,7,10.2.10.40,54:48:10:FE:6E:CC,,
GTJJ9Z2,FC830,idrac,MOC-R4PAC21U07-S1-OBM,Server-1,R4-PA-C21,7,10.2.10.41,D8:D0:90:6D:13:80,,
GTJK9Z2,FC830,idrac,MOC-R4PAC21U07-S3-OBM,Server-3,R4-PA-C21,7,10.2.10.42,D8:D0:90:6D:13:9A,b8:59:9f:3a:ea:0e,b8:59:9f:3a:ea:0f
16K1DV2,FX2,cmc,MOC-R4PAC21U05-CMC,,R4-PA-C21,5,10.2.10.30,54:48:10:FD:08:02,,
15T3DV2,FC830,idrac,MOC-R4PAC21U05-S1-OBM,Server-1,R4-PA-C21,5,10.2.10.31,CC:C5:E5:E6:E5:E0,24:8a:07:1e:2c:ce,24:8a:07:1e:2c:cf
15T4DV2,FC830,idrac,MOC-R4PAC21U05-S3-OBM,Server-3,R4-PA-C21,5,10.2.10.32,CC:C5:E5:E6:E5:FA,b8:59:9f:3b:43:ee,b8:59:9f:3b:43:ef
3BLT903,FX2,cmc,MOC-R4PAC21U03-CMC,,R4-PA-C21,3,10.2.10.20,54:48:10:FE:93:AC,,
3BN1B03,FC830,idrac,MOC-R4PAC21U03-S1-OBM,Server-1,R4-PA-C21,3,10.2.10.21,D8:D0:90:F6:31:70,98:03:9b:ad:65:d4,98:03:9b:ad:65:d5
3BNS903,FC830,idrac,MOC-R4PAC21U03-S3-OBM,Server-3,R4-PA-C21,3,10.2.10.22,D8:D0:90:F6:31:8A,b8:59:9f:3b:4c:f2,b8:59:9f:3b:4c:f3
